sequence_identifier,Kingdom,Phylum,Class,Order,Family,Genus,
Otu50,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptoniphilus,,
Otu51,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,
Otu52,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,
Otu53,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
Otu54,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
Otu55,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Otu56,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
Otu57,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu58,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerococcus,,
Otu59,Unclassified,,,,,,
Otu60,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptostreptococcus,
Otu61,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Otu62,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,
Otu63,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,
Otu64,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu65,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
Otu66,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu67,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
Otu68,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
Otu69,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,
Otu70,Unclassified,,,,,,
Otu71,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,,
Otu72,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Rheinheimera,
Otu73,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,
Otu74,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
Otu75,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
Otu76,Unclassified,,,,,,
Otu77,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptoniphilus,,
Otu78,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,
Otu79,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptoniphilus,,
Otu80,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,
Otu81,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerococcus,,
Otu82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Amb-16S-1323,,
Otu83,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Otu84,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,,
Otu85,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Otu86,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
Otu87,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Pygmaiobacter,
Otu88,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,
Otu89,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu90,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,DSSF69,
Otu91,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paraclostridium,
Otu92,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,
Otu93,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Parachlamydia,
Otu94,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,
Otu95,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,
Otu96,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerococcus,,
Otu97,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,
Otu98,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
Otu99,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,
Otu100,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,uncultured,
Otu101,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
Otu102,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
Otu103,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,
Otu104,Unclassified,,,,,,
Otu105,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
Otu106,Unclassified,,,,,,
Otu107,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,
Otu108,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,
Otu109,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,
Otu110,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,
Otu111,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
Otu112,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
Otu113,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,
Otu114,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,
Otu115,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,,
Otu116,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
Otu117,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
Otu118,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,
Otu119,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Auricoccus-Abyssicoccus,
Otu120,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,S5-A14a,
Otu121,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,
Otu122,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,
Otu123,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,
Otu124,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,
Otu125,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,,
Otu126,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,
Otu127,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,
Otu128,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paraclostridium,
Otu129,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu130,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,
Otu131,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Jeotgalicoccus,
Otu132,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,
Otu133,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Rathayibacter,
Otu134,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
Otu135,Unclassified,,,,,,
Otu136,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
Otu137,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,
Otu138,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,
Otu139,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,,
Otu140,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,
Otu141,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,,,
Otu142,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu143,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,
Otu144,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,,
Otu145,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,,
Otu146,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,,
Otu147,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,
Otu148,Unclassified,,,,,,
Otu149,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,,,
Otu150,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured,
Otu151,Unclassified,,,,,,
Otu152,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
Otu153,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerococcus,,
Otu154,Unclassified,,,,,,
Otu155,Unclassified,,,,,,
Otu156,Unclassified,,,,,,
Otu157,Unclassified,,,,,,
Otu158,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,
Otu159,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,
Otu160,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
Otu161,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307,
Otu162,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerococcus,,
Otu163,Unclassified,,,,,,
Otu164,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,,
Otu165,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,
Otu166,Unclassified,,,,,,
Otu167,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,
Otu168,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
Otu169,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,
Otu170,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,
Otu171,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] brachy group,
Otu172,Unclassified,,,,,,
Otu173,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,,
Otu174,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,
Otu175,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,
Otu176,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cruoricaptor,
Otu177,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,uncultured,
Otu178,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,
Otu179,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,,
Otu180,Unclassified,,,,,,
Otu181,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
Otu182,Bacteria,,,,,,
Otu183,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307,
Otu184,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,
Otu185,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu186,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,
Otu187,Unclassified,,,,,,
Otu188,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
Otu189,Bacteria,Desulfobacterota,uncultured,,,,
Otu190,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,KCM-B-112,
Otu191,Bacteria,,,,,,
Otu192,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,
Otu193,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Otu194,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,
Otu195,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,uncultured,
Otu196,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,
Otu197,Unclassified,,,,,,
Otu198,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,
Otu199,Bacteria,,,,,,
Otu200,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
Otu201,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,,
Otu202,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,
Otu203,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,
Otu204,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
Otu205,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus Alysiosphaera,
Otu206,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,
Otu207,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
Otu208,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
Otu209,Unclassified,,,,,,
Otu210,Unclassified,,,,,,
Otu211,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,
Otu212,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,
Otu213,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,
Otu214,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,
Otu215,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,
Otu216,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,
Otu217,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
Otu218,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Terribacillus,
Otu219,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,
Otu220,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu221,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,
Otu222,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,
Otu223,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,
Otu224,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
Otu225,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,
Otu226,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,
Otu227,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,
Otu228,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Otu229,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,
Otu230,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,
Otu231,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,uncultured,,
Otu232,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,
Otu233,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,
Otu234,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
Otu235,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerococcus,,
Otu236,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured,
Otu237,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
Otu238,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,,
Otu239,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,
Otu240,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Pseudoclavibacter,
Otu241,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,,,
Otu242,Unclassified,,,,,,
Otu243,Unclassified,,,,,,
Otu244,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,,
Otu245,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,,
Otu246,Bacteria,Firmicutes,Clostridia,Oscillospirales,,,
Otu247,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,
Otu248,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured,
Otu249,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,
Otu250,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,
Otu251,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,
Otu252,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,
Otu253,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,
Otu254,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,,
Otu255,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,
Otu256,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,Labrys,
Otu257,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu258,Bacteria,Chloroflexi,Dehalococcoidia,S085,,,
Otu259,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,
Otu260,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,,
Otu261,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured,
Otu262,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
Otu263,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,
Otu264,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,
Otu265,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,
Otu266,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,,
Otu267,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,,
Otu268,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptoniphilus,,
Otu269,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,
Otu270,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,
Otu271,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu272,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
Otu273,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,
Otu274,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,
Otu275,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,
Otu276,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
Otu277,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,
Otu278,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,
Otu279,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,
Otu280,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,
Otu281,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,
Otu282,Unclassified,,,,,,
Otu283,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
Otu284,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,
Otu285,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerococcus,,
Otu286,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sarcina,
